Identifiant,Description,Marque,Poids,Prix,Prix_ref,Popularité,Disponible
810,Sauce aigre douce,BLUE DRAGON,140,1.49,1.06/100ML,5,non
551,Récolte mondiale. tarrazu costaricain. café torréfié et moulu,MELITTA,454,11.99,2.64/100Gr,4,oui
204,Activia. yogourt probiotique cerise,DANONE,650,3.50,0.54/100Gr,4,non
569,Bleue bières en canettes 4.9 %,LABATT,380,23.99,0.34/100ML,9,oui
804,Bouillon condensé boeuf,CAMPBELL'S,284,1.25,0.44/100ML,3,oui
540,Mélange marie 2 filtre,BRÛLERIE SAINT-DENIS,225,8.99,4.00/100Gr,10,oui
61,Croustilles ketchup,OLD DUTCH,270,2.75,1.02/100Gr,9,non
841,Crème 25% moins de sel (champignons),CAMPBELL'S,284,1.25,0.44/100ML,10,oui
859,Café moulu noissette,MAXWELL HOUSE,311,5.99,1.93/100Gr,8,non
424,Brûleur pour cube de cire ,GLADE,400,11.99,11.99/UNITE,7,non
775,Boisson aux amandes vanille,ALMOND FRESH,200,3.79,0.20/100ML,1,non
692,Détergent parfum original,DAWN,709,2.50,0.35/100ML,5,oui
267,Wish for Gold vin blanc Etatis,WISH FOR,750,9.69,1.29/100ML,10,oui
621,Bière Crown 6%,BUDWEISER,235,14.99,0.35/100ML,8,oui
528,Mélange à café saule infuse,STARBUCKS,340,9.99,2.94/100Gr,3,oui
355,Crème nettoyante (lime),VIM,750,3.49,0.47/100ML,0,oui
400,Café moulu noir soyeux,FOLGERS,400,8.79,9.16/100Gr,6,oui
410,Cire de fond recharge tarte citrouille,GLADE,400,3.99,0.67/UNITE,2,non
360,Café moulu vanille-française,MAXWELL HOUSE,311,5.99,1.93/100Gr,6,non
295,Boisson aux amandes originale,ALMOND FRESH,200,3.79,0.20/100ML,1,oui
237,Oxy gel nettoyant à plancher (pur mer),VIM,400,3.99,0.40/100ML,7,non
819,Activia. yogourt probiotique pruneau,DANONE,650,3.50,0.54/100Gr,2,oui
